Spot_11,Spot_13,Spot_14,Spot_15,Spot_16,Spot_17,Spot_18,Spot_19,Spot_20,Spot_21,Spot_24,Spot_25,Spot_26,Spot_27,Spot_28,Spot_29,Spot_30,Spot_31,Spot_32,Spot_33,Spot_36,Spot_37,Spot_38,Spot_39,Spot_40,Spot_41,Spot_43,Spot_44,Spot_46,Spot_47,Spot_48,Spot_49,Spot_50,Spot_51,Spot_52,Spot_53,Spot_54,Spot_55,Spot_56,Spot_58,Spot_59,Spot_60,Spot_61,Spot_62,Spot_64,Spot_65,Spot_66,Spot_67,Spot_68,Spot_70,Spot_71,Spot_72,Spot_73,Spot_74,Spot_75,Spot_76,Spot_77,Spot_79,Spot_80,Spot_81,Spot_82,Spot_83,Spot_84,Spot_86,Spot_87,Spot_88,Spot_90,Spot_91,Spot_93,Spot_94,Spot_95,Spot_96,Spot_97,Spot_98,Spot_99,Spot_101,Spot_102,Spot_103,Spot_104,Spot_106,Spot_107,Spot_108,Spot_109,Spot_110,Spot_112,Spot_113,Spot_114,Spot_115,Spot_117,Spot_118,Spot_119,Spot_120,Spot_121,Spot_123,Spot_124,Spot_125
136818,115174,139317,149716,241183,23783,159572,166389,34855,29026,44999,298389,64159,475903,190574,166761,207871,160459,59322,0,80564,275164,166066,106863,80392,110295,246635,398177,141870,201004,272529,40753,149335,212591,176733,203243,55400,188842,222487,422082,83252,287153,191857,110452,48102,0,22322,0,134947,224490,27920,241049,55619,105597,107706,150850,117834,321374,305384,0,0,107629,194651,71755,39621,69742,41806,44917,269984,268020,73209,352507,0,213578,465644,414294,99418,0,82405,127910,220357,0,113921,413032,0,134673,165122,103521,124817,303410,281813,465670,101447,186011,120304,263790
68331,174422,190853,268151,331129,90025,158182,213271,25738,202329,39045,250715,119050,357895,123499,188375,223172,275710,45843,60601,98973,188840,192064,134174,107941,222044,218902,363775,147909,213443,164435,0,176738,0,167732,130168,27046,203492,206094,369958,48300,269161,238216,39403,24114,90041,0,76663,65963,202708,100831,269078,55614,124638,159564,176252,212019,203730,505758,0,0,153290,148710,60257,0,136889,128439,0,358529,154888,120901,267909,0,255697,418822,382104,92525,0,96116,196529,233993,0,93626,420928,0,174959,169262,141393,136046,0,177865,388990,180783,221351,92498,266643
167885,144886,93776,83044,239518,74470,184243,182313,28219,204727,66908,279916,51176,347687,128359,159019,273555,213679,89544,97679,87433,146621,97877,166970,139963,69271,216597,323589,82698,243431,182384,0,197104,24158,158776,229119,0,190822,254463,458318,67044,283498,162601,144134,34291,217523,27414,66336,86642,236595,127313,177277,65825,116390,114598,120451,141781,220755,398989,0,0,57094,148835,185248,60206,203782,128584,40503,198002,262320,68881,267543,0,197078,466843,375452,151453,24592,94047,186654,241274,0,89307,430235,0,106041,212002,134269,74308,270547,248829,420311,160876,194035,82410,250717
184676,215270,105525,172175,234161,90472,186388,252572,24493,216978,31566,292709,93611,310257,212361,215584,255702,177369,69749,35613,45383,206479,138027,70160,193782,161861,236497,322538,96148,293908,202401,38752,96285,219483,150373,113216,51117,142444,222984,420435,87908,276808,127202,81819,0,182181,30645,89860,142385,172908,92282,248869,66492,74966,136075,218636,228403,284872,418523,0,0,111747,173761,144610,166271,251860,120706,36761,168019,210931,92641,163399,26573,253001,458541,390320,85154,0,115408,114408,273171,0,84613,202037,0,238389,227918,97457,119136,94239,222260,389320,230647,275871,105503,263802
107318,158778,45137,170139,344933,104813,190736,209757,0,63342,78202,323972,75179,292684,98834,245861,326219,211341,63951,88774,0,161795,144673,58977,66629,215115,246170,383610,74181,299007,96621,0,177248,193845,127628,40033,0,93407,271249,537907,69648,277581,230348,68384,0,158692,59681,90970,110635,194090,136178,387464,54438,101335,75727,157753,215916,262389,319259,0,0,118792,187662,205540,107506,265281,171848,106447,221368,91745,109163,235052,0,237312,409096,360573,46260,0,161574,103703,171435,0,0,228108,0,138654,151720,94800,122548,102911,316340,344212,220886,250840,84755,238815
127916,154091,114693,197319,225451,77927,141183,310882,0,52637,136412,366059,90535,320423,158067,139134,346937,220753,0,62981,145033,209402,161586,97400,70301,164286,188314,374856,123233,285123,156776,0,168306,190459,66113,140328,25027,85205,223025,446910,67495,246678,233150,138648,0,150781,58030,96811,113175,296003,117290,384974,99949,67894,41330,203499,297621,206595,317926,0,0,62976,154621,186164,172639,224319,156991,35177,177551,212691,79330,228802,23651,249893,344128,268745,92984,171576,96719,107976,205071,0,56656,298714,0,217000,177471,105380,124381,86818,286649,394515,259794,195568,40639,255314
168084,116285,70994,158624,352866,72955,133876,285269,33176,64484,55187,278056,57894,366682,125367,169054,308103,231997,0,60452,0,282635,106928,98603,65051,173911,245391,387781,153826,332715,272042,0,271819,217139,155088,121181,44651,85774,263162,382680,59719,346289,245095,24685,34652,120833,31414,81148,105179,275721,122469,267670,48750,191378,89666,226271,211628,233510,350871,0,0,56136,140194,78772,109814,200274,169739,0,126018,146695,92968,290270,38385,255894,269721,349749,136229,194256,179479,34050,238925,0,86254,232825,0,235937,194761,103774,90620,126241,272779,455064,186835,313413,41857,296249
111487,143876,123137,155752,367241,99838,155602,322458,40674,304668,101881,224185,185666,364875,179150,213744,401426,178523,36921,70453,107139,170338,101177,132391,38065,222173,226700,458093,116974,310921,163703,23825,245748,277606,149451,161354,0,164328,328074,390841,124225,267692,317294,24929,0,182070,75576,64504,152165,254907,160676,339466,62026,155539,111983,170653,225944,248982,336492,23187,0,75303,125859,160657,261165,113011,106091,111026,185158,245693,0,304523,0,159565,372957,385122,141178,212015,142422,101235,213846,0,108382,196469,0,208377,135317,166167,156055,112762,150256,418730,239639,195134,0,332507
141242,134882,169461,127948,296937,80253,252081,264294,108263,59907,70615,237830,202227,327067,118055,222486,334318,233949,103785,0,122302,151432,90525,0,88482,218017,242189,482523,162828,305886,229784,0,262676,336693,153067,163684,35076,169986,275710,323404,79741,218197,245997,44655,0,180411,57237,65940,201724,344669,126705,409487,0,112204,123352,221996,181343,232239,311350,0,0,64459,126152,166962,180230,149379,62352,52129,140587,240651,51009,492559,77426,119301,343020,529340,86640,162518,126026,88996,310787,0,135321,224738,0,305594,216560,76915,66778,170510,231174,437837,138914,263540,24415,285807
160620,130018,174636,198279,280825,43462,145705,339045,147769,0,77616,238066,248251,337765,92241,170020,395074,38563,74682,68342,0,175605,104026,0,107260,259688,400936,415078,32894,239050,240843,60153,188134,256581,176754,108397,27078,159268,256027,509449,128344,268869,56827,50063,66422,184304,36925,102079,154294,384439,176445,331817,31985,154585,123898,172898,209871,217948,345100,0,0,68534,85069,161730,221703,189199,143152,126179,157951,198051,57608,439271,65685,145260,282408,424683,89106,190632,106441,132843,321338,0,156901,208667,0,237811,222331,124970,25113,255125,185496,387939,210543,151635,24216,218232
202257,194868,113706,207302,330489,80135,120716,321062,127857,232394,127395,190080,215805,362856,103163,259322,328361,189992,77974,49587,64586,243354,78495,87388,172568,261587,220037,449650,120713,270401,201932,0,292192,0,104869,162349,22674,312670,303795,463164,31791,266691,92384,26343,89415,146183,0,70777,117204,355721,253510,299867,0,81814,122787,240408,314010,233884,216659,0,0,125131,93704,209622,205084,122044,78373,55727,111112,225918,0,319358,58101,141053,211605,300115,135336,254857,143786,123291,305896,0,72079,237649,0,243345,190850,72939,100144,162484,142607,439304,164384,196412,54695,304421
128733,147816,118212,179857,532767,68824,105383,312162,98508,57520,84080,266956,231591,356316,58077,119849,252761,165359,111683,45006,64319,209573,56086,103911,115306,231935,156017,522372,119004,260955,181742,0,345508,267187,140730,84026,0,265368,315148,421735,106193,204295,54500,56500,83053,36803,46464,36789,183110,289184,207275,334523,0,49425,148078,186500,266245,198091,288362,0,0,108702,82210,204984,196142,143251,69499,0,174109,69072,0,292767,100713,152584,303102,451611,103365,189637,175556,42944,269837,0,45380,176302,0,188319,171496,106676,200653,164737,197915,434259,142110,193416,0,370821
