spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_30
6668.2,7495.8,7720.2,0,2321.2,6083.3,8329.2,5775.9,3138.8,6411.2,3684.3,2152,6826.2,9192.3,7629.8,2443.4,8068.1,4370.5,5532.7,4174.4,4961.2,9058.8,4523.8,5456.6,2891.2,8672.2,2518.5,1644.2,4774.9
6716.1,7023.6,7563.6,0,2418,5912.6,8270.1,5245.9,3070.8,7415.5,4938.8,2948.9,8098.3,7374.8,7375.7,3666.3,7216.5,4973.3,4652.3,4130.4,4086.3,8396.5,5372.3,4718.4,2572.1,8363.6,2444.7,3893.2,5321.4
6909.8,7607.7,8029.1,1812.1,3339.4,5977.3,7487.6,5258.4,3823.2,6430.1,4799.9,1481.9,8961,8151.3,8689.2,2442.6,6676.8,4781.3,4386.5,5451.2,4819.3,9653.2,5722.5,4600.8,2654.2,8554.5,2283.3,3888.6,5909.4
5641,6446.4,7716.6,2956.2,4065.8,6221.9,6690.4,5637.7,4434,6517,4701.1,0,8113.8,7752.3,6340.9,2218.8,6363.1,5946.2,4169.6,4704.6,5253.1,8517.7,5439.2,5070.4,3394.8,9868.4,2184.6,3118,5864.6
6727.7,4974.9,8919.5,3230.1,3510.8,6250.2,7965.5,5099.5,2566.2,4862.1,6395.6,0,7566.2,7324.5,6464.4,1897.1,5964.5,5433.6,4360.9,5924.3,5913,7870.8,6692,3600.3,2703.8,8382,3429.7,2424.6,5582.3
6573.2,6511.3,8105.9,2719.1,2696,7113.9,8215.4,4303.6,3175.8,6100.4,5965.3,0,8229.1,8492.7,5666.3,1380.4,7698.9,5959.7,4394,5792.6,4015,8996.2,5919.6,2829.6,2290.6,8852.6,2460.1,4587.6,7360.4
4775.2,6279.5,11147,3439.5,2929.5,5054.7,7257.7,4981.8,3910.1,6470.9,6205,0,7824.6,7361.5,7762.4,1682.1,7583.4,4894.7,5289.8,6658.4,4985.5,7529.2,6276.2,4855.3,3348.2,9113.2,4356.8,3826.1,5918.3
5304,7366.6,9538,3730.5,4408.4,6786.5,6949.4,3760.9,4371.8,4631.8,6431,0,8300.1,7266.8,6094.4,1032.1,7400.3,5323.8,4230.5,6493.4,4895.4,8725.9,6905.8,4241.8,2738.6,9667.5,3371.2,5174.2,6790.3
5588.4,6374.9,8843.1,4267.9,4257.3,4618.8,8262.1,4361.3,5627.4,5172.1,7349.7,0,9249.4,7886.6,7426.2,2012.8,9105.3,6752.4,3735,4157.7,5738.3,10206,7646.3,5197.3,3873.5,9051.5,3154.9,4636.5,5868.2
5722.6,7283.3,7764,4044.7,5460.8,4407.2,8791.4,5788.3,5353.1,4837.2,7184.2,0,6908.9,7591.2,6889.6,2248.5,7741.9,6468.9,4657.7,7333.8,4865.9,8920.1,6667.1,5516.6,3394.8,7429.2,3375,4800.1,5917.3
5175.4,7429.2,7555,5190.5,5157.8,3831.7,9594.4,4315.6,5576.5,5267.8,8063.4,0,9311.6,8107.1,7486.9,1309.5,8812.3,6210.2,5445,6712.6,3813.2,8387.7,6220.5,5370.3,3738.4,6762.7,3771.8,4390.9,5133
6995.3,6679.5,7561,6150.9,4059.5,4315.5,8460,5173.4,5890.8,5470.7,7999.6,0,8179.6,7173.5,7036.6,2887,8635.3,5989.7,5208,6076.7,5705,9784.7,7178.6,1909.3,3843.6,8051.2,3678,3986,5206.7
7342.9,6877.7,6899.5,6232.1,5365.6,4979.4,11146,6363.2,5486.5,4494.4,8168.9,0,7530,7943.7,5865,2490.8,6144.1,5816.8,5720.8,6811.3,4101.1,9569.7,8348.9,5639.5,5512.7,7367.3,4152.3,3171.8,4701
8010.5,6173.2,7668.5,5350.3,6055,4278.5,8969.8,6172.7,6337.2,5331.9,8249.3,1603.9,8850.1,6466.8,6014.8,2166.2,8024.6,5440.7,7215.3,6241,4526.9,9024.7,7234.8,6079.1,5662.4,5827.6,2944,4845.1,3822.9
7041.9,6259.4,7337.1,6375.3,6835.4,5610.8,8589.9,6634.8,5929.4,4466.9,7104.2,0,8036.2,7660.4,6530.8,1678,7748.4,6198.8,6771.1,6793.7,4562.6,7486,7167,5160.8,5725.1,4761.7,3240.9,4973.4,5144.3
6978.1,5503.3,6610.5,5085.8,6171.7,4514.1,7708.2,7184,6651.8,6730.7,6627,1394.3,6763.3,6312.9,6969.1,1932.9,7412.8,6782.6,7368.5,7031.8,4601.2,6500.9,9093,6176.3,6325.5,4181.4,3464.3,6845.5,4994.7
8172,4790.1,5880,5396.5,6431.9,5450.9,6965.8,5552.5,6583.8,5679.2,6503.2,1994.1,6253.6,8838.6,6101,3148.8,8254.7,4923.8,7074.7,7446.4,3678.8,7953.9,9033,4010.6,6219.5,3727.5,3546.3,6115.8,4647.2
7934.9,6401.4,4440.6,4576.9,5949.2,6028.9,8161.1,6610.6,5990.5,4602.5,5856.4,2575.5,7436.4,5976.5,3854.1,2817,7181,6564.2,7043,5652.7,4630.1,8392.8,7756.8,6178.7,7662.5,4652,3901.6,5981,5334.1
