spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_30,spot_31,spot_32,spot_33,spot_34,spot_35,spot_36,spot_37
8054.7,0,8740,8643.4,6638.7,8875.1,8356.3,3536.7,0,8309.8,3440.5,5838.8,7375,3558.6,6897.8,9988.6,6285.9,3303.3,4012.3,0,5366.4,7452.8,1861.1,0,9183,6453.7,4461.7,2053.9,7584.3,4019.7,4561.3,6529.9,7098.9,8922.1,8011.4,3303.3
8280,0,10206,9612.3,5234.4,9249.7,8182.3,4677,0,8677.4,3852.9,5260.7,8134.1,1874.3,6765.6,8232.9,6332.9,4101.7,4467.8,0,5050.1,6615.6,1818.5,0,8637.2,8920.4,7407.8,1576.6,7107.7,4784.7,4959.6,8315.3,8225.1,6603.5,7768.4,4478
6736.2,0,11217,9157.1,7453.4,7496.4,8828.6,3945.2,0,9186,4308.1,5525,8132.5,0,6435.6,8886.5,5045.9,3560.4,4838.1,0,7000.5,6948.3,1576.1,0,7109.3,8397.1,6685.5,1713.4,7200.1,4022.9,5814.9,7555,7687.7,5838.4,9188.1,4953.2
6377.7,0,8758.7,9193.8,6952.4,8881.5,9675.7,4717.2,0,8587.4,4716.8,4733.4,8069.5,0,7177.8,8839.5,6030.3,4311.1,5478.6,0,6690.3,8542.1,3085.8,0,7018.2,8964.5,7077.3,1799.9,7175.4,3256.9,5236.2,7265,6889.8,8322.7,10071,5857.8
8307,0,10671,10127,4609.3,7065.2,8153.6,5969.6,0,8535.9,4572,5747.8,8702.2,0,6881.4,7970.8,5891.3,3524.1,3648.1,0,6822.3,8541.2,2531.9,0,9174.4,8337.6,8072.8,0,6231.8,3022.2,5349.1,6219.9,6873.6,9447.8,9976.9,5386.3
6042.9,0,8785.6,10095,2994.6,8485.3,10257,3907.7,0,5529.3,5604.3,5149.3,8061,2446,8773.3,9641,5228.5,4450.1,5487.1,0,6449.7,7708.1,1742.7,0,8390,8726.1,8247,3252.4,6957.2,0,5465.8,6221.4,7637.4,9668,9756.5,6666.6
7023.4,0,8897.9,9429.3,2940.9,7038.4,7292.5,3039.9,0,7048.9,5982.7,4707.9,7687.4,2275,6138.4,8652.5,8098.4,4871,3665.9,0,6466.8,6846.5,2171.8,3972.1,8713.4,9823.4,9172.1,5413.9,4549.1,0,7280.2,5600.3,6631.7,7856.8,9562.1,7346.9
7326.6,0,8220.5,10996,4511.6,7005.6,8428.8,4085.2,0,5804,5771.5,6530.8,8059.7,3290.1,6569.6,7178.6,6475.2,4905.2,5935.8,0,7584.1,6265.4,2624.3,4017.6,8137.8,8581.1,8682.6,2064.5,3931.4,0,6151.7,6293.5,9457.9,8244.7,8506.9,6022.8
6923.3,0,8776.5,9519.2,3584.5,7945.8,8932.1,4102.3,0,5354.5,4712,5594,8409.9,3123.4,7286.8,8032.5,6809.4,6223.5,4975.6,0,6358.1,6566.1,3004.4,1747.6,8077,8664.9,9654.8,2909.4,2979.7,0,5515.3,5616.2,7773.9,8257.6,8124.6,8310
6679.1,0,8211.9,10567,4226.7,5267,8236.7,4848.1,0,4874.1,5739.6,5508.7,8289.9,3779.2,8643,7002.4,8371.2,3589.7,6045.7,0,6959.5,5078,2349.2,3124.6,7261.5,8893.6,9964.4,3065.7,3311.7,0,5656,5955.6,6455.8,6991.5,8929.1,6607.4
