Spot_15,Spot_16,Spot_17,Spot_18,Spot_19,Spot_20,Spot_21,Spot_23,Spot_24,Spot_25,Spot_26,Spot_27,Spot_28,Spot_29,Spot_30,Spot_31,Spot_32,Spot_34,Spot_35,Spot_36,Spot_37,Spot_38,Spot_39,Spot_40,Spot_41,Spot_42,Spot_45,Spot_46,Spot_47,Spot_48,Spot_49,Spot_50,Spot_51,Spot_52,Spot_53,Spot_55,Spot_57,Spot_58,Spot_59,Spot_60,Spot_61,Spot_62,Spot_63,Spot_64,Spot_65,Spot_66,Spot_68,Spot_69,Spot_70,Spot_71,Spot_72,Spot_73,Spot_74,Spot_75,Spot_76,Spot_77,Spot_79,Spot_80,Spot_81,Spot_82,Spot_83,Spot_84,Spot_85,Spot_86,Spot_87,Spot_88,Spot_89,Spot_91,Spot_92,Spot_93,Spot_95,Spot_96,Spot_97,Spot_98,Spot_99,Spot_100,Spot_101
68404,418497,0,236281,129615,139736,294090,173881,0,0,143071,117443,209787,299127,193228,23544,53447,132047,141292,112214,112368,178063,0,112056,223989,46588,36162,235227,270961,170753,139825,240583,68837,87925,236104,0,120245,156426,71731,45406,21087,0,159687,137238,181955,190372,104510,0,85316,0,150483,106464,163277,102650,117443,137099,182213,80868,78941,135943,134182,103662,145276,161862,50543,183500,54194,50409,192220,131827,159318,170865,167245,83061,99039,252851,219467
32756,309218,0,258159,101483,165498,254586,179696,0,0,177620,139969,145053,250225,276728,0,64097,189884,84064,85748,145291,169289,0,130631,204662,98078,57240,324716,150945,189173,105147,208093,68304,147087,292295,0,168527,147497,37336,32469,51747,0,147279,42379,176578,311379,168874,95482,218336,40644,143302,0,218992,131834,118038,127194,227930,96737,20055,136470,115966,149091,150387,159465,132579,211674,83282,92948,182594,196456,164587,148594,278429,77980,120329,230467,204249
59994,368005,0,244998,150636,191514,330587,230901,0,0,142913,50374,198698,338965,186866,0,48354,213752,102325,102402,0,145253,0,208545,327335,259011,69348,306888,189796,97094,114142,268924,62852,168197,219074,0,223096,202152,0,44753,0,0,181306,72622,153851,315511,215750,61700,181138,97508,122215,0,259292,98704,146903,54992,202415,72504,0,144331,173829,102233,219512,178902,77451,241971,59001,112216,170595,184434,128640,166839,214368,132897,68806,177616,121424
45334,384346,0,303416,239173,122888,306962,178175,30266,0,148186,118642,145489,318714,133512,0,88511,249232,85824,127783,0,75366,0,0,218105,303643,61290,229611,364792,132340,55851,220004,69816,132745,271705,24148,205427,230285,92962,29346,0,0,162745,89519,115863,316908,204195,0,139821,124345,205729,68334,317798,115854,101886,74156,216032,74899,100453,96091,54902,120228,226586,112361,57594,206678,86773,37163,169095,181579,236152,182870,201769,145410,76715,223641,122871
40183,399866,37813,237589,155811,95727,237986,160889,0,53196,98448,70477,175743,297600,180426,0,0,213589,64284,137585,181264,86335,0,95990,299817,132020,88089,259940,169221,211552,52982,159677,0,146858,245340,0,236609,140449,126641,44956,0,0,169614,97984,141708,283411,152986,97647,156966,66218,228388,67984,173979,139429,163911,45571,188147,42823,75064,89057,132699,87301,183170,193256,129532,142407,144609,91795,139489,238217,158450,103554,250293,143585,111652,167429,139197
55461,268371,0,303802,234669,117974,416223,144945,31623,35663,143213,18797,234476,225307,109261,0,89827,207632,84118,119905,0,40449,0,168463,233207,198083,66465,231371,155774,250447,77059,152063,67305,167103,252946,0,226528,187351,118758,123324,51592,0,195444,69588,91192,376646,186466,17866,153810,109638,167518,76981,165176,179440,154781,40717,100149,30348,49134,58789,69620,49110,222607,149372,137041,194032,102323,146302,120753,189860,209854,195078,256363,129883,119036,174264,193324
75737,347383,0,213623,89991,135084,311054,190185,0,0,136903,32300,164354,327230,159560,31201,84010,183289,88403,55350,0,126745,0,153927,238803,231593,82194,232219,127285,194623,36351,251003,103281,138758,279153,0,301056,140389,138173,60735,78790,0,160675,98829,151190,137462,176116,0,131094,94301,153787,97059,155829,194481,157462,42174,182601,49226,35603,78053,107274,24063,165806,172586,107411,132717,64760,90739,142716,155181,148633,209435,217442,176320,157833,236525,125824
81536,389851,0,252546,172460,129694,272193,117504,0,0,193577,47300,131484,307415,137292,0,29700,130789,141770,138652,0,121762,0,63715,163449,361867,39482,197242,156798,98025,88440,161739,92424,127618,232784,0,283777,106808,38030,22842,35012,0,224973,135925,137112,178072,210597,0,121519,96122,119822,0,140032,215056,177946,78146,127293,0,0,42321,91475,63013,201713,141245,85249,238759,84935,76406,120854,129025,185509,205450,203284,109492,156390,183293,155903
26362,318865,24706,305543,139841,190924,234805,211951,0,54651,116496,52013,167653,256065,157708,186398,0,58787,134116,115451,0,69782,0,172866,111224,172906,107558,222079,164162,88983,110778,187023,115397,110139,226706,0,211569,164565,94375,93321,125675,0,198984,146196,133108,180990,260397,0,37492,116852,124118,74459,257347,137854,190479,129895,106097,16325,52881,36979,157565,23264,282891,209137,106869,209179,89060,138516,208474,122610,166557,133757,310562,206340,118827,178746,148991
48561,407242,0,309492,161514,151038,267878,204772,0,25260,192009,53862,135175,232338,216414,0,0,156366,129242,154654,0,76626,0,156723,142069,283765,91384,160854,92595,157615,78584,248669,38981,182786,190661,18800,215755,174147,125316,67542,65240,0,211950,148955,177831,200786,209538,0,60031,148987,146752,31426,202930,142634,109905,49689,165376,39934,0,57613,135982,18650,273056,84030,127051,318772,157942,126827,82981,105211,149260,229331,259242,213398,145546,185897,141196
39864,283498,0,359703,238433,157379,288788,205434,25972,0,145357,62237,143727,282942,142420,0,0,207628,124636,97410,0,110613,0,189720,153817,106492,119726,179475,103325,191198,130125,112115,101634,105316,194978,0,255035,156058,89280,117142,43412,0,149038,197260,157770,208455,205174,0,126431,73081,161730,77479,161601,136739,112941,44241,123199,76773,0,86245,190561,40481,278800,159206,0,216314,125527,115330,121924,99033,411450,140219,274411,204316,88591,102994,144287
67447,289475,0,439797,131267,168842,352006,222833,0,21537,204045,135327,76768,255630,174659,0,0,207531,105307,172487,19643,93668,0,170459,100252,177876,125538,214806,143106,193528,34874,188959,60662,96833,164119,0,236952,151474,82991,144161,72786,0,105823,199879,159203,191667,250443,32837,131365,74028,155272,69469,122335,170539,109850,70111,101384,36222,0,118264,77665,22337,242245,159741,128409,193244,150730,142252,104575,110334,289838,134093,207559,168352,123585,127789,48996
81555,434659,0,367261,216060,177566,319346,193843,0,19732,230086,68090,93481,261696,163850,0,0,289587,90616,153325,0,81282,0,156986,141507,185288,54949,201844,90601,170233,90478,146359,105583,143768,164880,0,212295,138378,0,68634,140729,0,149650,145031,138303,245555,182675,0,93861,126717,113061,133649,94901,131790,57783,80320,93809,42702,19142,104265,130443,37714,291260,129527,159208,189135,159976,35090,112390,73588,171225,170728,288103,180097,139859,199096,67517
77273,259216,0,342383,228756,223500,260427,229890,0,24565,182697,79657,145275,223526,181832,227306,0,23038,164257,172240,0,75174,0,99907,108698,232060,111336,114759,67122,148678,27471,99648,23129,113207,125473,40809,149391,107457,70967,46904,119215,0,144139,142152,197850,164726,152469,0,94969,104361,117342,98614,133260,138506,88358,48226,115720,77338,0,50485,119417,18827,332531,114035,161897,232347,111706,127653,95372,74892,215381,254584,255745,203370,92643,123576,98892
61317,228559,0,293715,178390,103490,217213,252122,0,21521,260135,101550,152612,258973,177516,0,0,261302,195753,122800,0,62128,0,56419,158975,127450,142383,187551,68160,188222,67566,76300,118504,118720,188567,0,183633,74666,63996,60834,79086,0,168774,173077,163629,199501,145526,0,114143,142597,140912,81215,125004,219432,160146,72751,114200,57080,23653,73608,172648,0,280129,130165,132699,232903,116222,98742,151284,61504,157715,203466,180223,205475,58722,136902,72305
97796,214014,0,362606,189535,91046,247971,206505,57041,39489,163092,82480,113937,278947,152450,0,0,215785,195515,123477,0,42592,0,128179,60597,216797,116469,169509,19172,234450,100175,116414,113106,100908,129324,0,171832,111053,67337,0,163039,0,51425,149583,164398,129676,203695,0,86461,100396,175235,102557,0,160158,153027,93591,141739,108385,0,146162,109522,51439,242573,128275,154646,209711,113172,157466,59481,104581,80008,154041,252428,170070,84556,142610,107027
48803,103367,0,327012,197820,211195,311612,184831,0,33650,213410,47246,106564,276649,62981,0,0,362701,182089,0,0,141597,0,110467,101777,122233,152940,199560,100502,122973,0,107145,0,133286,109680,28559,178858,44952,101896,115237,137846,0,74237,131642,116109,228809,162269,29738,63515,113698,211112,110250,78682,190547,93724,133082,60555,59450,0,152483,162111,59603,244348,0,146809,156280,136432,125668,110473,177030,131952,192365,178885,147149,113739,164046,210595
29185,148713,0,343935,109694,223713,215811,150736,48806,24663,294756,81544,132548,500758,98526,245205,0,75035,166823,0,0,35965,0,148650,67206,115575,137183,212447,96511,129778,104442,73443,72361,70633,203961,70782,116607,75454,99024,47645,166094,0,86138,149432,191308,204880,182737,0,89552,88222,192993,110594,48816,151050,90187,160957,66576,61498,0,235680,115605,47031,338744,77345,68685,162043,166161,95140,89965,82490,195683,243497,160334,156945,102577,167182,102931
70489,242125,0,371568,106929,180847,302202,95472,0,52871,185527,73587,77736,422904,100870,250806,0,72038,154996,147024,0,47652,0,73675,57836,76284,33327,242316,64705,70259,46723,97533,63194,60621,114410,19750,144421,83691,89581,105609,200026,0,142979,203802,152319,108729,105937,0,69174,106915,174568,131729,66671,151603,164632,104439,36873,31378,0,101289,204489,0,295369,92824,107726,212699,133372,169859,106078,116366,181249,237275,171464,145585,26483,95563,137456
97698,199652,0,394041,144490,203853,291247,81466,92650,30441,253324,104492,98468,387085,101437,0,43772,429268,138239,53626,0,67782,0,65327,94877,158605,82916,176704,68217,85303,94585,69317,0,39155,131606,88175,237434,0,38110,130732,156895,0,75517,107385,149638,198974,77414,27805,144999,124211,152340,90285,52898,215893,108071,160104,23426,35842,0,164513,201756,42094,211537,102752,109460,163894,91462,26634,26103,172433,173436,229713,126554,290726,74036,179704,133540
89577,238813,0,301566,85508,224486,294733,119165,83646,24698,218669,86260,84361,388148,144362,0,0,249880,213131,85229,0,75524,0,107394,103422,143051,118445,170036,43943,149929,114389,34245,49586,71923,143687,63043,113571,52513,74987,0,167746,0,155515,110604,245013,169693,164462,0,97833,86171,130594,103502,37468,160286,158133,217072,0,106488,22083,158891,179710,18446,310247,117511,94040,162788,93760,96357,59363,117055,138927,144532,102293,224763,51048,151325,139131
