Spot_15,Spot_20,Spot_21,Spot_22,Spot_23,Spot_24,Spot_25,Spot_26,Spot_27,Spot_28,Spot_31,Spot_32,Spot_34,Spot_35,Spot_36,Spot_37,Spot_38,Spot_40,Spot_41,Spot_42,Spot_43,Spot_45,Spot_46,Spot_47,Spot_48,Spot_49,Spot_51,Spot_52,Spot_53,Spot_54,Spot_55,Spot_56,Spot_57,Spot_58,Spot_60,Spot_61,Spot_63,Spot_64,Spot_65,Spot_66,Spot_67,Spot_68,Spot_69,Spot_70,Spot_71,Spot_73,Spot_74,Spot_75,Spot_76,Spot_77,Spot_78,Spot_79,Spot_81,Spot_82,Spot_84,Spot_85,Spot_86,Spot_87,Spot_88,Spot_89,Spot_90,Spot_91,Spot_92,Spot_95,Spot_96,Spot_97,Spot_98,Spot_99,Spot_100,Spot_101,Spot_102,Spot_103,Spot_104,Spot_106,Spot_107,Spot_108,Spot_109
34124,86478,0,179960,119714,0,27575,107950,94705,66991,276125,213927,93312,114261,67371,0,0,92631,83337,0,0,88968,163735,126852,44105,216348,30730,52291,100887,67180,65589,38257,0,211212,186037,0,0,195981,36833,0,0,88036,41140,81859,58173,0,0,105830,0,180121,0,119445,0,105784,82006,23467,95981,38791,75397,0,194034,31168,67596,195972,0,217397,171575,153677,110302,149837,114201,118047,247706,96891,35441,128172,177194
0,99351,0,152937,140327,0,42516,74160,31289,60627,231257,133948,79738,92387,94255,0,0,73720,50013,0,0,41498,127354,143581,72258,190663,73941,115311,28122,132456,62722,53208,0,125434,259210,0,0,152468,24091,27446,0,78101,103236,77429,154367,65749,0,86558,156797,161604,77769,32760,0,85526,0,21115,113215,0,74654,0,138813,43097,118999,115074,0,182871,100255,63401,195541,129395,84749,108439,244809,50384,0,89277,222613
0,83902,0,123940,134445,0,31074,85784,78494,74396,248132,176465,94418,120519,94455,0,63750,121300,0,0,0,87467,112716,199677,31059,176181,0,74717,95560,107613,72907,23407,0,37071,169413,0,0,79514,59236,41375,33089,144111,104263,96340,179409,69788,0,29700,119270,152207,76698,77264,0,69555,0,0,115540,22999,0,0,71220,59362,73372,117880,0,207664,155469,68971,191872,84845,201222,99114,272504,77025,0,41563,147942
45443,96294,0,128696,177993,0,42273,98232,104594,49806,176276,213996,84755,127540,47776,0,77547,175816,0,0,0,27270,165394,181640,58328,116556,68547,98937,130801,95384,35363,21696,0,38173,187662,0,60278,136358,74288,62243,0,76871,69497,152502,141740,117908,0,28988,85365,175779,133864,103212,26744,85106,0,0,34777,27438,86618,0,158737,57283,77405,178393,0,143594,143823,103748,140828,108209,188170,182998,210966,111326,0,0,147918
0,185690,0,126260,159800,0,0,113622,0,0,86754,252583,58841,131466,120312,0,0,156718,0,0,0,33118,122534,95963,70432,109379,134595,133501,84939,148887,58221,96323,0,54705,235846,0,0,177330,83688,68188,0,108596,106446,157869,150380,82113,0,79696,168764,173132,24325,153452,0,56626,0,0,214289,21482,101153,0,171923,36721,54094,200555,0,153887,195499,161077,120397,140967,154025,197319,326454,0,0,134092,219710
67068,116919,0,149116,98998,0,22014,100031,22498,0,112929,130229,83552,108812,94713,0,51340,201313,136197,0,0,71130,66687,157455,60028,103526,77900,83012,102351,113544,34903,112004,0,54652,194409,0,32132,177409,35543,26139,36086,100139,69321,160766,166259,154302,0,70588,138693,180031,150606,165009,0,71111,31227,40154,255975,0,74033,40489,151698,36649,114047,155444,0,203692,146675,140789,200056,128299,123585,110892,290113,53320,0,40706,192558
75659,122389,26031,121950,166769,0,0,190175,27377,0,53720,229174,50629,154047,54324,0,52258,153329,144612,0,0,84903,102288,191948,47040,25720,88642,157975,78756,153942,40345,120231,0,0,196864,0,23521,210226,75900,45697,36499,67761,81797,154304,120509,134087,0,54321,150495,44725,114047,150967,0,48891,32426,34606,191797,21221,152029,20857,133169,40165,60144,264362,0,201706,348060,186261,123602,156093,81459,130771,394938,44895,0,72838,212919
95927,158326,42154,170043,119779,0,0,135389,0,0,152178,174256,56994,112384,148021,0,50676,197479,136284,0,0,53776,112056,201936,123826,69993,74142,125322,109616,170738,81838,56665,0,49961,201702,0,34436,239265,92694,78649,27864,83377,33580,148471,102981,113684,0,34164,194511,126105,116394,183681,0,0,48485,0,266137,0,140114,0,167497,36827,143316,175966,0,139074,253860,228018,136299,230501,155875,102292,318079,146971,0,109741,179226
49919,121582,65168,149923,213093,0,36783,57031,20834,0,106051,131211,0,111539,111526,0,0,265772,79681,0,0,62528,140424,161264,122303,85202,94066,180950,78547,205978,83972,87805,0,60509,173228,0,51094,292052,34539,120818,22926,108092,44188,121633,48163,173728,0,23349,159634,154365,110079,154943,0,0,62522,26134,154218,0,125961,29182,181754,43592,91392,94952,0,131137,274986,224005,136057,173906,82415,108898,328397,110532,0,0,114621
70208,206621,55607,78586,233585,0,0,239575,48579,0,128425,199038,56034,37730,143204,0,26075,217716,0,0,0,139647,30244,191282,82035,0,138866,137657,98971,207150,53663,84583,0,0,164226,0,66364,257889,37985,71172,0,60364,61714,81501,150373,189891,44225,103749,150602,125316,92501,172387,0,0,82541,30470,172131,34741,146666,46775,167896,0,154466,51199,0,176043,243322,201590,133055,197362,120365,187106,322071,126512,0,77732,85910
