Spot_10,Spot_11,Spot_12,Spot_13,Spot_14,Spot_16,Spot_17,Spot_18,Spot_19,Spot_20,Spot_21,Spot_22,Spot_23,Spot_24,Spot_25,Spot_26,Spot_28,Spot_29,Spot_31,Spot_32,Spot_33,Spot_34,Spot_35,Spot_37,Spot_38,Spot_39,Spot_40,Spot_41,Spot_43,Spot_44,Spot_45,Spot_46,Spot_47,Spot_48,Spot_49,Spot_50,Spot_51,Spot_52,Spot_54,Spot_55,Spot_56,Spot_57,Spot_59,Spot_60,Spot_61,Spot_62,Spot_63,Spot_65,Spot_67,Spot_68,Spot_69,Spot_70,Spot_71,Spot_72,Spot_73,Spot_76,Spot_77,Spot_78,Spot_79,Spot_80,Spot_81,Spot_82,Spot_83,Spot_84,Spot_86,Spot_87,Spot_88,Spot_89,Spot_90,Spot_91,Spot_92,Spot_93,Spot_94,Spot_95,Spot_97,Spot_98
89850,58171,0,150905,86243,42650,113088,32689,121479,78735,50830,54379,71289,83490,28804,52646,95526,55145,108953,105939,59733,108519,134561,99352,141113,98051,83446,122978,18676,70089,123020,80398,30998,109925,0,68413,90943,53478,82736,73493,57847,78443,26459,71357,0,0,105875,96969,79113,94037,72418,64973,31519,125407,0,68634,47929,81103,52165,80157,112515,110282,49030,0,0,68566,97090,0,0,0,64664,72903,32412,0,100574,108632
81923,44863,30754,128331,64505,19182,85547,93622,90282,33761,89040,57089,70467,112001,0,86900,60898,79624,71454,98983,93920,107192,51269,112217,134699,126345,77403,102289,24318,133826,98235,90386,59881,86275,0,52534,86126,81081,92688,86777,58423,74009,26379,95341,0,0,88954,125321,114597,118832,45315,65073,21251,104840,0,60121,76120,95652,98920,115756,101992,116093,64414,0,0,50377,122156,0,61907,0,63962,44760,49769,0,134695,65485
63850,52384,46390,98488,77295,25388,78418,46761,104458,92211,65455,110406,81382,79444,21897,92759,96845,38350,88154,61746,88522,98348,87949,117173,111803,95550,126726,81813,45521,78828,110349,93535,52042,122719,0,71503,125563,88063,78342,64454,36908,84754,48549,61866,0,0,82601,111656,130295,90423,40566,19843,0,102551,0,52119,54716,95772,51371,90264,92374,73763,0,0,0,66082,86448,0,55174,0,104788,50705,0,0,127716,47505
90036,63794,36168,94200,105421,44377,128947,92614,110994,83762,69988,104395,74601,109494,45854,81459,61113,51639,70027,75206,100423,106574,94799,70775,115780,80500,78931,77045,34732,52199,81127,68199,80783,94247,0,103721,122810,74886,74664,77470,65669,58595,18916,69324,0,0,57428,77964,105501,106786,79487,23757,0,102243,0,92558,87455,53538,35969,74825,142319,121889,0,0,0,68760,100184,0,86545,0,89231,62443,0,19173,102926,84663
52252,115749,33864,95490,90730,28654,74015,38167,105285,45526,77672,105083,103665,80167,16650,116280,58611,93875,75953,97722,98532,109174,93885,81421,85002,102028,96625,119020,22807,96289,88367,62515,18030,115835,0,60435,94759,27623,68044,65814,75737,50832,16253,49206,0,0,55755,105332,120066,80909,48189,41314,0,75346,0,113855,94710,114596,40141,86499,129954,156898,0,0,0,45036,120728,0,40257,0,109676,61390,24708,14927,141343,84646
57084,57894,33114,88023,90696,22802,115110,31227,122515,97913,92795,103360,58225,78135,15329,103954,91182,83002,90550,122916,82296,81434,76984,117667,120803,101998,73212,65781,27003,92423,58611,119838,19339,83413,0,101263,140865,49559,99389,49184,71976,65584,52395,58564,0,0,104374,62923,100250,68154,112459,44335,0,84187,0,69979,77228,86130,44195,42921,69136,141664,0,0,0,51658,112225,0,64793,0,81316,83607,31797,0,158448,80801
16453,48736,25900,126293,110996,43344,122843,55261,87936,57491,70599,76512,66820,106030,42119,89706,94631,100613,68950,88701,94874,102869,52053,81382,69524,93387,83342,77603,27665,65908,92713,90583,52754,131186,0,52112,124237,100724,73077,63258,78212,30713,47630,35554,0,0,97464,61388,95743,100751,66528,59313,0,115527,0,99146,58827,90978,34058,99748,76045,77539,28988,0,0,26222,80304,0,62228,33265,87805,112359,37570,0,142759,85482
55894,45730,16513,100322,123182,17537,103745,38481,131534,60934,79622,73631,70533,121931,50621,88259,62913,51560,106317,50314,87807,99362,41821,119867,123039,71391,80399,45402,19515,35428,90334,90588,25634,113881,0,83762,83237,67638,83473,68826,71466,0,18598,61289,0,0,70640,52361,91401,74117,68791,85744,0,98474,0,68083,59997,89676,45339,70615,104705,123284,27204,0,0,30975,91317,0,96748,40364,73041,82654,0,0,177663,93733
66635,36900,14158,110324,125336,53274,107169,57221,80306,81819,83901,75043,55869,96311,47989,75024,65825,71100,74065,103679,54157,120128,94565,119996,115185,70605,107989,41107,43848,0,72518,59899,55979,127324,0,78035,138848,122470,126033,74448,96950,97628,63724,74448,0,0,130993,114911,107360,97657,96567,55040,0,87464,0,84139,67915,73085,0,82028,69951,117245,38618,0,15156,57547,78458,0,28850,25519,71699,74863,0,0,108263,90560
38217,28948,16132,122524,120928,86009,65652,86732,73113,47212,86574,112052,102938,110316,74022,87672,61782,66356,84238,90109,70931,144535,66868,129401,119898,116418,118415,45053,38414,0,51692,101623,77528,133864,38684,101087,108586,84497,111364,0,98838,71173,34209,52356,0,0,74376,65979,111494,85623,56097,71357,0,61461,0,45607,69874,76440,23612,90398,48041,147330,28189,0,0,15129,86479,0,80230,43254,85307,76618,21411,0,104035,123742
70164,50213,37432,134899,97613,38102,91182,72256,70758,60562,68813,106780,70544,58613,51298,59702,80639,74052,88010,86489,58239,120986,112318,119480,74123,86517,120574,44927,30673,0,51424,108114,31831,119517,0,120127,112329,72559,123677,79991,48138,38499,74203,119173,0,0,69907,113398,127837,108764,69982,83579,0,93820,0,58265,61954,89641,0,96363,50840,144928,44586,0,18674,51454,97002,0,76279,69805,118957,131806,31792,0,150586,78048
25894,55432,21573,120432,74501,85805,90599,63635,55624,60947,44297,83284,37111,88875,50373,76676,74889,98371,67971,70377,71729,130648,70782,96113,80844,119084,132437,79431,57611,0,80679,63621,33759,95496,0,117211,102785,97384,104084,73793,65460,57239,51017,82208,0,0,57591,70219,110673,120735,80902,68657,0,112892,0,46015,69954,82518,61574,107418,49367,151705,47441,0,13582,76663,95953,0,40839,0,73932,62125,0,0,124799,94253
26279,43905,0,154038,104781,85725,100838,71466,72728,74103,105953,65330,87295,136210,59521,81908,69153,75077,80948,91394,61448,104238,92579,121407,90338,61286,103889,40821,45768,85856,88972,73633,60574,112421,52474,95613,99141,125699,109146,60539,68269,39253,31332,91037,0,0,26992,80080,107744,101050,50410,53277,0,87500,0,79297,80999,102254,102601,56200,38045,127804,30072,0,32798,49213,121953,0,23093,13163,52486,91715,0,0,126671,66142
26008,35625,29339,93627,133997,68709,109693,82940,123663,54802,83376,126992,67632,131891,53544,92280,52889,40524,57884,108222,56739,67969,97287,138173,80675,44481,94282,31910,26303,64098,43357,78633,65673,114111,38895,77290,118103,70968,118936,47314,89026,0,77678,63389,0,0,67952,86317,137930,98956,42678,93981,0,66563,0,96749,86901,100998,42421,68306,61348,119450,42296,0,0,39675,79312,9802,56847,61515,63373,81252,25153,0,153084,109548
27896,40226,30037,143067,134259,64343,63853,94890,59785,53102,101889,64657,52716,173962,36678,90518,35411,90718,74376,66728,69321,133421,88670,124480,74590,98285,89041,29539,26552,98263,77331,77374,72274,110668,0,85562,100998,110248,110467,63365,149216,0,54550,60646,0,0,61602,53351,122612,73134,0,114599,0,59494,0,64757,84466,75961,70362,58252,64922,162021,81569,0,27079,55984,61555,0,0,56653,84872,51605,29978,0,142628,64369
21689,48106,12414,124684,111537,117904,54201,72687,82618,65376,109647,92332,81660,97936,54394,58034,36889,55171,55530,59108,59089,100977,48360,134069,101576,91200,116524,23086,27866,45617,27651,50850,16473,91939,40779,70800,129237,93257,126618,84146,57608,52770,48222,87951,0,0,75510,72726,123959,75103,24823,106439,0,88115,0,0,91003,111234,60946,71843,67317,146277,60484,0,28850,58744,55196,0,0,23081,43110,96783,19465,0,133769,29243
0,48103,31991,130612,46685,57601,71336,66888,86706,52108,66130,82624,81031,96568,66946,69368,63026,93786,52919,108937,61539,117891,77727,130339,74828,65859,76533,67785,26808,77229,36058,38559,75279,108410,70990,60472,125883,61778,129882,62443,57546,37509,43422,83222,0,0,62531,83410,119061,97261,42221,91053,0,88586,0,0,61733,107789,43344,68318,68697,109444,49647,0,37651,69740,55626,0,28043,29322,72160,79062,0,0,119536,58620
14286,82455,37306,129355,126405,70363,82364,48602,70482,46020,72050,113731,120920,165947,64375,92761,27061,94128,106680,79018,87129,57277,61334,138237,87482,85033,119396,53924,26478,62025,65750,89279,89485,108686,0,100792,141860,44853,137693,40364,50020,45901,43434,99689,0,0,46844,66497,80855,74391,0,131351,0,79370,0,0,0,129767,61109,75759,60162,109659,45348,0,15626,89896,73839,0,77672,51217,88463,62175,0,0,130254,78531
